1,10,1
2,5,1
3,5,2
4,2,2
5,7,3
6,9,3
7,5,3
8,2,4
9,5,4
10,5,5
11,9,5
13,8,5
15,5,6
16,10,6
17,7,6
18,4,6
19,5,7
20,8,7
21,3,8
22,4,8
23,5,8
24,7,8
25,10,8
26,9,9
27,8,9
28,5,9
29,5,10
30,9,11
31,7,11
32,5,11
33,4,11
34,2,11
35,1,12
36,5,12
37,6,12
38,5,13
39,5,14
40,8,14
41,9,14
42,2,15
43,5,15
44,1,16
45,5,16
46,4,17
47,5,17
48,7,17
49,2,18
50,5,18
51,3,19
52,5,19
53,5,20
54,8,20
55,1,21
56,5,21
57,1,22
58,5,22
59,5,23
60,5,24
61,9,24
62,2,25
63,5,25
64,1,26
65,5,26
66,8,26
67,5,27
68,2,28
69,5,28
70,5,29
71,9,29
72,2,30
73,5,30
74,6,30
75,1,31
76,5,31
77,1,32
78,2,32
79,5,32
80,9,32
81,2,33
82,5,33
83,5,34
84,1,35
85,5,35
86,7,35
87,10,35
88,1,36
89,4,36
90,5,36
91,5,37
92,9,37
93,2,37
94,9,38
95,2,38
96,5,38
97,5,39
98,9,39
99,5,40
100,8,40
101,5,41
102,8,41
